Associativity,Size(bytes),Size(KB),Total dynamic read energy/access(nJ)
1,131072,128,0.278891
2,131072,128,0.286158
4,131072,128,0.463594
8,131072,128,0.80524
16,131072,128,1.83705
32,131072,128,4.14432
64,131072,128,8.73239
