Associativity,Size(bytes),Size(KB),Area(mm^2)
4,32768,32,0.902279
4,65563,64,1.27551
4,131072,128,2.02069
4,262144,256,3.49898
4,524288,512,8.33802
4,1048576,1024,18.0265
4,2097152,2048,31.8043
4,4194304,4096,64.983
4,8388608,8192,116.672
4,16777216,16384,226.253
4,33554432,32768,428.905
4,67108864,65536,861.726
