Associativity,Size(bytes),Size(KB),Access time(ns)
4,65536,64,1.51102
4,131072,128,1.59863
4,262144,256,1.96104
4,524288,512,2.62333
4,1048576,1024,3.608
4,2097152,2048,5.0595
